origin,destination,distance,origin_lat,origin_lon,dest_lat,dest_lon,season,day_of_week,hour,is_weekend,is_peak_hour,user_profile,user_age,user_income,price_sensitivity,time_priority,comfort_priority,transport_type,available_train,available_bus,available_flight,base_demand,seasonal_multiplier,weather_factor,special_event,actual_price,actual_time,user_satisfaction
Roma,Torino,523.8515931199344,41.9028,12.4964,45.0703,7.6869,winter,3,8,False,True,budget,32,27633.052674946834,0.95,0.2,0.3,bus,False,True,False,0.8460946513583215,0.85,0.8524475197307867,0,30.04,7.64,0.746
Venezia,Verona,103.29133579911766,45.4408,12.3155,45.4384,10.9916,spring,4,8,False,True,business,60,59734.01790625116,0.2,0.9,0.8,train,True,True,False,1.494164994117708,1.05,0.9008965481442508,1,22.74,1.57,0.866
Brescia,Milano,80.0956664659833,45.5416,10.2118,45.4642,9.19,winter,0,7,False,False,budget,20,16989.248951290465,0.95,0.2,0.3,bus,False,True,False,0.8623319892092706,0.85,1.1376113590840446,0,6.0,1.5,0.908
Roma,Brescia,444.2696356016952,41.9028,12.4964,45.5416,10.2118,spring,3,9,False,True,budget,22,25508.884064655304,0.95,0.2,0.3,bus,False,True,False,0.9145566158844851,1.05,1.17320170193935,0,43.43,6.82,0.716
Torino,Roma,523.8515931199344,45.0703,7.6869,41.9028,12.4964,winter,1,18,False,True,budget,35,24835.11780012591,0.95,0.2,0.3,bus,False,True,False,1.2431572143782588,0.85,0.9938925255962181,0,41.61,8.69,0.682
Bari,Salerno,183.31805359173563,41.1177,16.8719,40.6824,14.7681,winter,4,21,False,False,leisure,32,40046.52758177407,0.8,0.4,0.6,bus,False,True,False,0.51102815969206,0.85,0.852658791234445,1,10.7,2.61,0.939
Milano,Firenze,249.4643680963005,45.4642,9.19,43.7696,11.2558,winter,4,19,False,True,business,22,51449.709401124426,0.2,0.9,0.8,bus,False,True,False,1.2023295592671555,0.85,0.9120719391535107,0,16.82,3.96,0.768
Napoli,Bari,220.54328328614662,40.8518,14.2681,41.1177,16.8719,spring,4,17,False,True,business,27,59758.97410379447,0.2,0.9,0.8,train,True,True,False,1.2541404420286806,1.05,1.0375616428778476,0,42.14,2.92,0.93
Verona,Milano,140.56002944654563,45.4384,10.9916,45.4642,9.19,autumn,3,20,False,False,budget,39,27705.995990467614,0.95,0.2,0.3,bus,False,True,False,1.1626166445455832,0.95,1.1911108448595062,0,13.34,2.32,0.887
Catania,Torino,1042.5474671921197,37.5079,15.083,45.0703,7.6869,winter,3,11,False,False,budget,39,25531.81861158301,0.95,0.2,0.3,bus,False,True,False,0.6787323407518706,0.85,0.9065058233483658,0,56.01,12.03,0.548
Firenze,Bologna,80.94663031227816,43.7696,11.2558,44.4949,11.3426,spring,0,15,False,False,business,32,70605.95274235144,0.2,0.9,0.8,train,True,True,False,1.0854698483751175,1.05,0.8323007157199132,0,11.6,1.11,0.896
Brescia,Cagliari,708.1698769120402,45.5416,10.2118,39.2238,9.1217,winter,0,12,False,False,business,64,62354.474296227054,0.2,0.9,0.8,bus,False,True,False,0.6014434252858022,0.85,1.080519087141727,1,52.43,8.34,0.271
