origin,destination,distance,origin_lat,origin_lon,dest_lat,dest_lon,season,day_of_week,hour,is_weekend,is_peak_hour,user_profile,user_age,user_income,price_sensitivity,time_priority,comfort_priority,transport_type,available_train,available_bus,available_flight,base_demand,seasonal_multiplier,weather_factor,special_event,actual_price,actual_time,user_satisfaction
Firenze,Brescia,213.63676976405085,43.7696,11.2558,45.5416,10.2118,spring,6,10,True,False,business,66,62566.44659116769,0.2,0.9,0.8,bus,False,True,False,1.0651847502121674,1.05,0.9746523537082092,1,29.29,2.69,0.813
Bari,Cagliari,691.0756209104828,41.1177,16.8719,39.2238,9.1217,winter,4,10,False,False,business,44,45681.67182714583,0.2,0.9,0.8,bus,False,True,False,0.5547934196145976,0.85,0.9096460716254433,1,43.51,7.78,0.324
Pisa,Perugia,174.47430545458167,43.7228,10.4017,43.1107,12.3908,spring,4,22,False,False,budget,31,26204.885917152384,0.95,0.2,0.3,bus,False,True,False,0.8362187617748248,1.05,1.0283545904328668,0,12.73,2.61,0.928
Torino,Salerno,755.136502159887,45.0703,7.6869,40.6824,14.7681,autumn,5,19,True,True,budget,59,16825.937066242222,0.95,0.2,0.3,bus,False,True,False,0.911162295247132,0.95,1.0579532641753069,0,64.99,13.79,0.55
Salerno,Reggio Calabria,296.1980587882089,40.6824,14.7681,38.1061,15.6444,autumn,0,22,False,False,budget,64,20516.974678866034,0.95,0.2,0.3,bus,False,True,False,0.529331015045458,0.95,0.9023716908851158,0,16.08,3.86,0.844
Torino,Catania,1042.5474671921197,45.0703,7.6869,37.5079,15.083,autumn,5,19,True,True,budget,62,29296.307082897583,0.95,0.2,0.3,bus,False,True,False,1.0127055600173904,0.95,1.1408876886369594,0,114.5,20.42,0.246
Firenze,Cagliari,535.7547782391368,43.7696,11.2558,39.2238,9.1217,winter,1,7,False,False,budget,19,22308.958930120356,0.95,0.2,0.3,bus,False,True,False,0.5743391110258388,0.85,0.8757976162862454,0,27.58,5.88,0.742
Salerno,Verona,611.2265733426046,40.6824,14.7681,45.4384,10.9916,summer,6,8,True,True,budget,44,22256.4691949704,0.95,0.2,0.3,bus,False,True,False,2.38410272304351,1.25,1.0276409358384442,0,115.64,10.21,0.314
Venezia,Pisa,243.84268356711726,45.4408,12.3155,43.7228,10.4017,winter,4,13,False,False,business,30,59724.26952383165,0.2,0.9,0.8,bus,False,True,False,0.6115347313333303,0.85,0.9218636213974938,0,11.48,3.45,0.725
Brescia,Genova,160.82407439026616,45.5416,10.2118,44.4056,8.9463,winter,5,11,True,False,business,43,44907.99886312816,0.2,0.9,0.8,bus,False,True,False,0.7521745902863227,0.85,0.950757241242259,0,10.56,2.48,0.813
Verona,Perugia,281.7710386926179,45.4384,10.9916,43.1107,12.3908,autumn,0,6,False,False,leisure,21,41938.11790733326,0.8,0.4,0.6,bus,False,True,False,0.7576861610826685,0.95,1.0790408390299373,0,20.87,3.63,0.865
Reggio Calabria,Torino,1017.6056008237674,38.1061,15.6444,45.0703,7.6869,summer,3,8,False,True,leisure,59,48649.75854550292,0.8,0.4,0.6,bus,False,True,False,1.7531690089526217,1.25,1.146414190408218,0,174.45,17.05,0.092
Salerno,Torino,755.136502159887,40.6824,14.7681,45.0703,7.6869,summer,2,9,False,True,leisure,18,35961.29039529595,0.8,0.4,0.6,bus,False,True,False,1.7635331905331693,1.25,0.8265789151622629,0,87.59,11.9,0.296
Milano,Salerno,698.2094152942275,45.4642,9.19,40.6824,14.7681,summer,5,13,True,False,leisure,69,34986.496725261415,0.8,0.4,0.6,bus,False,True,False,1.1502796477151953,1.25,1.0293083819915103,0,95.72,8.89,0.301
Verona,Genova,197.77884609135177,45.4384,10.9916,44.4056,8.9463,winter,6,9,True,True,business,25,67956.49169549317,0.2,0.9,0.8,bus,False,True,False,0.9537122046614572,0.85,0.8749009965993392,1,16.92,3.61,0.748
Palermo,Genova,790.4894382572269,38.1157,13.3613,44.4056,8.9463,winter,4,10,False,False,leisure,69,33689.78705923365,0.8,0.4,0.6,bus,False,True,False,0.6106180593180196,0.85,0.8093943527285499,1,43.63,10.02,0.504
Roma,Torino,523.8515931199344,41.9028,12.4964,45.0703,7.6869,autumn,6,19,True,True,business,53,72213.76567980586,0.2,0.9,0.8,bus,False,True,False,1.3623333185019062,0.95,1.1798375614244794,0,63.54,8.81,0.213
Reggio Calabria,Genova,896.0841828577638,38.1061,15.6444,44.4056,8.9463,winter,6,8,True,True,business,61,58055.41043425775,0.2,0.9,0.8,bus,False,True,False,0.9173311278168195,0.85,1.0810108890367471,0,68.67,15.23,0.137
Perugia,Roma,134.59097229843186,43.1107,12.3908,41.9028,12.4964,autumn,5,15,True,False,business,66,40756.685807629954,0.2,0.9,0.8,train,True,True,False,1.7758373461767258,0.95,1.1897749039114098,0,33.48,1.64,0.939
Firenze,Salerno,448.7734526327139,43.7696,11.2558,40.6824,14.7681,spring,1,21,False,False,business,59,62147.541046083934,0.2,0.9,0.8,bus,False,True,False,0.7769558070195881,1.05,1.0904734604320852,1,45.39,5.53,0.569
Genova,Catania,923.4070866903812,44.4056,8.9463,37.5079,15.083,winter,3,21,False,False,business,36,73826.473963546,0.2,0.9,0.8,bus,False,True,False,0.5695323102966656,0.85,0.8080086485483634,0,41.65,12.72,0.174
Palermo,Reggio Calabria,199.7465280604363,38.1157,13.3613,38.1061,15.6444,summer,3,7,False,False,leisure,25,48350.5897791239,0.8,0.4,0.6,bus,False,True,False,0.8199950976551511,1.25,1.106627783994586,0,19.81,3.05,0.848
Roma,Cagliari,412.24778877118604,41.9028,12.4964,39.2238,9.1217,spring,6,13,True,False,budget,46,21739.172360472614,0.95,0.2,0.3,flight,False,False,True,1.2495238403311282,1.05,0.9565612983699916,1,175.95,2.69,0.156
Perugia,Venezia,259.1646081776268,43.1107,12.3908,45.4408,12.3155,summer,2,12,False,False,budget,26,20575.568118019837,0.95,0.2,0.3,bus,False,True,False,2.073509740654286,1.25,1.0481004633295516,1,54.94,3.42,0.755
Catania,Genova,923.4070866903812,37.5079,15.083,44.4056,8.9463,spring,5,8,True,True,budget,49,26414.09169063445,0.95,0.2,0.3,bus,False,True,False,1.4743659223211687,1.05,0.9364051952882488,0,100.42,15.57,0.373
Napoli,Bari,220.54328328614662,40.8518,14.2681,41.1177,16.8719,spring,6,15,True,False,leisure,30,43535.227784730065,0.8,0.4,0.6,train,True,True,False,1.1610649206135946,1.05,0.8735638024604073,0,39.73,2.52,0.864
Salerno,Brescia,654.5268007886989,40.6824,14.7681,45.5416,10.2118,winter,4,10,False,False,leisure,28,40475.068977119096,0.8,0.4,0.6,bus,False,True,False,0.5102584502847468,0.85,0.8909717867946273,0,29.6,7.18,0.623
Pisa,Reggio Calabria,763.91751086906,43.7228,10.4017,38.1061,15.6444,autumn,3,19,False,True,leisure,34,43545.36562297221,0.8,0.4,0.6,bus,False,True,False,0.6889859615627295,0.95,0.9074175456617793,0,47.43,11.89,0.445
Firenze,Genova,197.5400929972036,43.7696,11.2558,44.4056,8.9463,summer,3,15,False,False,leisure,57,30044.12108955617,0.8,0.4,0.6,bus,False,True,False,1.2406410910449563,1.25,0.956312307819168,1,28.59,2.29,0.86
Napoli,Pisa,450.53177102657014,40.8518,14.2681,43.7228,10.4017,summer,3,21,False,False,leisure,27,49132.23260791086,0.8,0.4,0.6,bus,False,True,False,1.3149072040384495,1.25,0.9817711685164762,0,53.04,4.98,0.676
Genova,Perugia,311.826995976702,44.4056,8.9463,43.1107,12.3908,summer,2,18,False,True,leisure,62,41264.91314623164,0.8,0.4,0.6,bus,False,True,False,1.238814909799678,1.25,0.8190416988671803,0,25.88,4.28,0.82
Milano,Brescia,80.0956664659833,45.4642,9.19,45.5416,10.2118,autumn,4,13,False,False,business,40,78727.41400467453,0.2,0.9,0.8,bus,False,True,False,0.6826013599320383,0.95,1.1061776282311662,0,5.28,1.4,0.862
Napoli,Brescia,616.2948595018123,40.8518,14.2681,45.5416,10.2118,summer,6,17,True,True,budget,56,28401.675508563083,0.95,0.2,0.3,bus,False,True,False,1.4877944884483973,1.25,0.9574126645753208,0,80.82,10.58,0.466
Salerno,Napoli,46.12887918330604,40.6824,14.7681,40.8518,14.2681,summer,3,12,False,False,business,20,60709.825429580946,0.2,0.9,0.8,train,True,True,False,1.6704957309713548,1.25,0.9871894464145144,0,10.5,0.86,0.858
Torino,Roma,523.8515931199344,45.0703,7.6869,41.9028,12.4964,summer,6,17,True,True,business,25,71421.44009517768,0.2,0.9,0.8,bus,False,True,False,2.843257583326124,1.25,0.9882887183243872,0,119.79,6.94,0.351
Napoli,Firenze,408.12561110051274,40.8518,14.2681,43.7696,11.2558,winter,4,20,False,False,leisure,63,27743.09839264742,0.8,0.4,0.6,bus,False,True,False,0.9788719466126484,0.85,0.8628427892481862,0,25.28,4.55,0.805
Cagliari,Bologna,614.2328335911224,39.2238,9.1217,44.4949,11.3426,spring,3,8,False,True,leisure,62,44805.31311897174,0.8,0.4,0.6,bus,False,True,False,1.3248389447766755,1.05,0.8422099905431386,0,50.24,9.3,0.475
Catania,Firenze,767.2849235657435,37.5079,15.083,43.7696,11.2558,summer,1,17,False,True,budget,40,23513.61511188294,0.95,0.2,0.3,bus,False,True,False,2.334682272765957,1.25,1.0394015187579047,1,183.01,10.56,0.097
Torino,Firenze,318.1646173611902,45.0703,7.6869,43.7696,11.2558,summer,2,10,False,False,leisure,63,34374.01688020111,0.8,0.4,0.6,bus,False,True,False,1.9066572548283147,1.25,1.1963992455147752,0,53.55,5.61,0.596
Firenze,Milano,249.4643680963005,43.7696,11.2558,45.4642,9.19,autumn,3,22,False,False,business,24,51389.51713078099,0.2,0.9,0.8,bus,False,True,False,1.085828388025958,0.95,0.9002410057724491,0,16.52,3.61,0.733
Palermo,Cagliari,388.09698802679287,38.1157,13.3613,39.2238,9.1217,summer,3,20,False,False,budget,57,26012.392713056834,0.95,0.2,0.3,bus,False,True,False,1.1597053027123603,1.25,0.9445394856393095,0,39.67,4.36,0.796
Torino,Catania,1042.5474671921197,45.0703,7.6869,37.5079,15.083,summer,4,13,False,False,business,67,68722.87793085065,0.2,0.9,0.8,bus,False,True,False,1.1961498559061334,1.25,1.1852362638305116,1,174.33,14.68,0.068
Verona,Catania,945.0812031268658,45.4384,10.9916,37.5079,15.083,winter,3,16,False,False,business,63,48894.30358441113,0.2,0.9,0.8,bus,False,True,False,0.580304430801056,0.85,0.9988980325490916,0,46.74,12.66,0.101
Venezia,Catania,911.5757951888478,45.4408,12.3155,37.5079,15.083,winter,0,13,False,False,leisure,57,45071.74528916509,0.8,0.4,0.6,bus,False,True,False,0.5818542274492007,0.85,1.00690950597573,0,52.85,12.93,0.427
Verona,Catania,945.0812031268658,45.4384,10.9916,37.5079,15.083,winter,6,6,True,False,leisure,58,47311.52975796783,0.8,0.4,0.6,bus,False,True,False,0.6592987246629824,0.85,0.9055609919013378,1,67.05,12.04,0.442
Palermo,Roma,427.493249833183,38.1157,13.3613,41.9028,12.4964,winter,1,15,False,False,business,21,54749.323049334635,0.2,0.9,0.8,flight,False,False,True,0.9433061639018169,0.85,0.8510180795567748,1,93.18,2.59,0.862
Venezia,Roma,393.6762811180453,45.4408,12.3155,41.9028,12.4964,spring,6,14,True,False,business,55,43066.25149411275,0.2,0.9,0.8,bus,False,True,False,2.0720738824202556,1.05,0.8302354062877995,0,47.91,5.67,0.536
Salerno,Verona,611.2265733426046,40.6824,14.7681,45.4384,10.9916,summer,1,19,False,True,business,40,76813.23653223601,0.2,0.9,0.8,bus,False,True,False,1.6816825361954646,1.25,0.8087363276711101,0,66.27,10.59,0.167
Bologna,Brescia,146.44191946697546,44.4949,11.3426,45.5416,10.2118,spring,1,12,False,False,leisure,59,49130.25506340622,0.8,0.4,0.6,bus,False,True,False,0.7548796490704123,1.05,0.8352586948768734,0,9.91,2.08,0.941
Milano,Venezia,243.79776815348217,45.4642,9.19,45.4408,12.3155,winter,5,18,True,True,budget,52,27763.019728536958,0.95,0.2,0.3,bus,True,True,False,1.500973479344092,0.85,0.9070900864004267,0,19.9,4.42,0.83
Cagliari,Firenze,535.7547782391368,39.2238,9.1217,43.7696,11.2558,autumn,1,10,False,False,business,56,76205.47389052474,0.2,0.9,0.8,bus,False,True,False,1.3777555795149516,0.95,1.0755065758122708,0,53.26,8.34,0.299
Reggio Calabria,Bari,350.98395092002374,38.1061,15.6444,41.1177,16.8719,autumn,1,9,False,True,leisure,69,31081.084323925334,0.8,0.4,0.6,train,True,True,False,0.9587044526931191,0.95,1.016186353135684,0,51.99,4.21,0.781
Bologna,Reggio Calabria,795.8249306427862,44.4949,11.3426,38.1061,15.6444,autumn,6,10,True,False,leisure,43,41907.98572586605,0.8,0.4,0.6,bus,False,True,False,0.7388009124960395,0.95,0.9169346429459516,1,67.31,10.6,0.408
